"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"COM","USA",93,98,"ADU"
2,"AVV","USA",93,106,"GEN"
2,"COM","USA",91,100,"TUT"
3,"THR","USA",86,90,"ADU"
3,"DRA","USA",40,103,"ADU"
2,"THR","USA",85,100,"GEN"
3,"COM","USA",55,109,"TUT"
2,"THR","USA",90,97,"GEN"
2,"DRA","USA",91,111,"ADU"
2,"AVV","USA",93,91,"TUT"
2,"DRA","USA",93,90,"ADU"
2,"THR","USA",92,110,"ADU"
1,"DRA","USA",88,90,"ADU"
2,"THR","USA",60,112,"ADU"
3,"DRA","USA",77,121,"ADU"
3,"THR","USA",91,100,"GEN"
5,"DRA","USA",39,212,"GEN"
2,"THR","USA",87,90,"ADU"
2,"DRA","USA",94,100,"GEN"
3,"THR","USA",56,120,"GEN"
4,"DRA","USA",35,95,"ADU"
2,"THR","USA",87,100,"ADU"
2,"DRA","USA",49,115,"ADU"
3,"THR","USA",90,135,"GEN"
3,"DRA","USA",52,117,"GEN"
2,"THR","USA",83,100,"ADU"
3,"DRA","USA",66,123,"ADU"
2,"THR","USA",93,90,"GEN"
3,"DRA","USA",55,105,"GEN"
2,"THR","USA",87,110,"ADU"
3,"CMC","USA",53,95,"TUT"
3,"THR","USA",67,107,"ADU"
1,"BIO","USA",87,100,"ADU"
1,"THR","USA",94,92,"ADU"
2,"DRA","USA",54,105,"ADU"
3,"THR","USA",88,105,"GEN"
2,"DRA","USA",61,98,"GEN"
2,"THR","USA",92,128,"GEN"
2,"DRA","USA",57,157,"ADU"
3,"THR","USA",91,97,"GEN"
2,"COM","USA",82,98,"GEN"
2,"THR","USA",91,109,"GEN"
2,"COM","USA",89,100,"GEN"
2,"WES","USA",55,88,"TUT"
2,"COM","USA",80,101,"GEN"
3,"WES","USA",71,105,"GEN"
2,"COM","USA",91,110,"GEN"
3,"WES","USA",73,105,"GEN"
2,"COM","USA",87,107,"GEN"
2,"WES","USA",66,101,"TUT"
3,"DRA","USA",56,105,"GEN"
2,"AVV","USA",59,109,"TUT"
2,"DRA","USA",91,105,"ADU"
4,"WES","USA",40,92,"GEN"
2,"COM","USA",52,89,"GEN"
2,"AVV","USA",59,105,"GEN"
3,"DRA","USA",43,89,"GEN"
2,"AVV","USA",52,110,"GEN"
3,"DRA","USA",81,120,"GEN"
2,"AVV","USA",54,86,"GEN"
2,"DRA","USA",52,96,"ADU"
2,"WES","USA",76,99,"ADU"
3,"BEL","USA",65,102,"GEN"
3,"WES","USA",76,99,"ADU"
3,"DRA","USA",67,126,"GEN"
2,"AVV","USA",93,105,"TUT"
2,"COM","USA",74,90,"GEN"
3,"WES","USA",69,130,"GEN"
2,"COM","USA",86,91,"GEN"
3,"WES","USA",58,100,"GEN"
1,"DRA","USA",88,90,"GEN"
3,"AVV","USA",52,118,"TUT"
